T_{AMB},G,v,Date,dt
27,0,0,2023-07-23T01:00:00Z,PT60M
27,0,2,2023-07-23T02:00:00Z,PT60M
27,0,2,2023-07-23T03:00:00Z,PT60M
27,15,3,2023-07-23T04:00:00Z,PT60M
29,140,3,2023-07-23T05:00:00Z,PT60M
31,369,2,2023-07-23T06:00:00Z,PT60M
32,583,2,2023-07-23T07:00:00Z,PT60M
33,766,8,2023-07-23T08:00:00Z,PT60M
34,908,10,2023-07-23T09:00:00Z,PT60M
34,998,15,2023-07-23T10:00:00Z,PT60M
35,1030,15,2023-07-23T11:00:00Z,PT60M
34,997,16,2023-07-23T12:00:00Z,PT60M
34,902,20,2023-07-23T13:00:00Z,PT60M
34,755,21,2023-07-23T14:00:00Z,PT60M
34,568,18,2023-07-23T15:00:00Z,PT60M
33,357,19,2023-07-23T16:00:00Z,PT60M
31,148,17,2023-07-23T17:00:00Z,PT60M
29,11,18,2023-07-23T18:00:00Z,PT60M
29,0,19,2023-07-23T19:00:00Z,PT60M
28,0,9,2023-07-23T20:00:00Z,PT60M
27,0,18,2023-07-23T21:00:00Z,PT60M
27,0,12,2023-07-23T22:00:00Z,PT60M
27,0,12,2023-07-23T23:00:00Z,PT60M
27,0,14,2023-07-24T00:00:00Z,PT60M
